Cuenta;Saldo;Categoria;Vida Util;Valor Residual;Anos de Uso
Efectivo en caja;18.500,00;;;;
Bancos cuenta corriente;259.300,00;;;;
Valores negociables;46.000,00;;;;
Cuentas por cobrar clientes;238.400,00;;;;
Provision para cuentas incobrables;11.900,00;;;;
Inventario de mercancias;312.700,00;;;;
Seguros pagados por anticipado;14.600,00;;;;
IVA credito fiscal;9.800,00;;;;
Terreno;480.000,00;;;;
Edificio;760.000,00;;20;60.000,00;6
Maquinaria y equipo de planta;395.000,00;;10;25.000,00;4
Vehiculos de reparto;186.000,00;;5;16.000,00;2
Equipo de computacion;54.000,00;;3;6.000,00;1
Mobiliario y enseres;38.500,00;;10;2.500,00;3
Software administrativo;27.000,00;;;;
Proveedores nacionales;196.400,00;;;;
Efectos por pagar a corto plazo;74.000,00;;;;
Sueldos por pagar;38.900,00;;;;
IVA por pagar;22.100,00;;;;
ISLR por pagar;31.500,00;;;;
Intereses por pagar;7.400,00;;;;
Prestamo bancario a largo plazo;1.020.000,00;;;;
Hipoteca por pagar;265.000,00;;;;
Prestaciones sociales acumuladas;96.000,00;;;;
Capital social;500.000,00;;;;
Reserva legal;90.000,00;;;;
Utilidades retenidas;268.600,00;;;;
Ventas;2.980.000,00;;;;
Devoluciones en ventas;54.000,00;;;;
Otros ingresos;36.000,00;;;;
Costo de ventas;1.742.000,00;;;;
Gastos de administracion;418.000,00;;;;
Gastos de ventas;286.000,00;;;;
Gastos financieros;210.000,00;;;;
Gasto de impuesto sobre la renta;88.000,00;;;;
