cuenta,saldo,tipo,vida util,valor residual,anos de uso
Caja,4200,,,,
Banco Nacional,21500,,,,
Cuentas por cobrar,96000,,,,
Inventario de materia prima,184000,,,,
Productos terminados,72000,,,,
Gastos pagados por anticipado,6800,,,,
Terreno,150000,,,,
Galpon industrial,310000,,25,20000,12
Maquinaria pesada,268000,,10,18000,8
Camiones,94000,,5,8000,4
Proveedores,214000,,,,
Documentos por pagar a corto plazo,98000,,,,
Sobregiro bancario,42000,,,,
Impuestos por pagar,36500,,,,
Sueldos por pagar,28400,,,,
Prestamo bancario a largo plazo,195000,,,,
Prestaciones sociales,48000,,,,
Capital social,450000,,,,
Utilidades retenidas,118600,,,,
Ventas netas,1180000,,,,
Costo de ventas,894000,,,,
Gastos de administracion,168000,,,,
Gastos de ventas,74000,,,,
Gastos financieros,68000,,,,
